batch	expt
OEL06_N702_S515	Y05B	K5ERRY_24HPI
OEL08_N705_S517	Y06	K5ERRY_48HPI
OEL06_N704_S522	Y05B	K5ERRY_24HPI
OEL05_N718_S511	Y03	K5ERRY_96HPI
OEL06_N710_S518	Y05B	K5ERRY_24HPI
OEL06_N701_S518	Y05B	K5ERRY_24HPI
OEL05_N724_S510	Y05A	K5ERRY_24HPI
OEL05_N718_S505	Y03	K5ERRY_96HPI
OEL05_N720_S510	Y05A	K5ERRY_24HPI
OEL05_N722_S506	Y05A	K5ERRY_24HPI
OEL08_N701_S517	Y06	K5ERRY_48HPI
OEL05_N719_S502	Y04	K5ERRY_UI
OEL05_N727_S508	Y05A	K5ERRY_24HPI
OEL05_N721_S510	Y05A	K5ERRY_24HPI
OEL05_N726_S510	Y05A	K5ERRY_24HPI
OEL08_N702_S520	Y06	K5ERRY_48HPI
OEL05_N728_S511	Y05A	K5ERRY_24HPI
OEL05_N728_S505	Y05A	K5ERRY_24HPI
OEL08_N715_S513	Y07A	K5ERRY_48HPI
OEL08_N714_S520	Y07A	K5ERRY_48HPI
OEL08_N705_S518	Y06	K5ERRY_48HPI
OEL08_N712_S516	Y07A	K5ERRY_48HPI
OEL08_N715_S521	Y07A	K5ERRY_48HPI
OEL08_N707_S522	Y06	K5ERRY_48HPI
OEL05_N727_S505	Y05A	K5ERRY_24HPI
OEL05_N723_S508	Y05A	K5ERRY_24HPI
OEL06_N706_S517	Y05B	K5ERRY_24HPI
OEL05_N719_S506	Y04	K5ERRY_UI
OEL06_N703_S518	Y05B	K5ERRY_24HPI
OEL08_N714_S515	Y07A	K5ERRY_48HPI
OEL08_N703_S517	Y06	K5ERRY_48HPI
OEL08_N712_S521	Y07A	K5ERRY_48HPI
OEL08_N706_S518	Y06	K5ERRY_48HPI
OEL05_N722_S502	Y05A	K5ERRY_24HPI
OEL05_N729_S506	Y05B	K5ERRY_24HPI
OEL08_N702_S515	Y06	K5ERRY_48HPI
OEL08_N715_S516	Y07A	K5ERRY_48HPI
OEL08_N701_S518	Y06	K5ERRY_48HPI
OEL05_N718_S508	Y03	K5ERRY_96HPI
OEL06_N705_S517	Y05B	K5ERRY_24HPI
OEL08_N704_S522	Y06	K5ERRY_48HPI
OEL08_N710_S518	Y06	K5ERRY_48HPI
OEL06_N707_S521	Y05B	K5ERRY_24HPI
OEL06_N702_S518	Y05B	K5ERRY_24HPI
OEL06_N703_S520	Y05B	K5ERRY_24HPI
OEL05_N720_S511	Y05A	K5ERRY_24HPI
OEL08_N705_S520	Y06	K5ERRY_48HPI
OEL06_N704_S516	Y05B	K5ERRY_24HPI
OEL08_N707_S513	Y06	K5ERRY_48HPI
OEL05_N718_S510	Y03	K5ERRY_96HPI
OEL05_N720_S505	Y04	K5ERRY_UI
OEL06_N710_S515	Y05B	K5ERRY_24HPI
OEL05_N724_S505	Y05A	K5ERRY_24HPI
OEL06_N705_S515	Y05B	K5ERRY_24HPI
OEL06_N707_S516	Y05B	K5ERRY_24HPI
OEL08_N701_S520	Y06	K5ERRY_48HPI
OEL05_N721_S511	Y05A	K5ERRY_24HPI
OEL08_N710_S520	Y06	K5ERRY_48HPI
OEL05_N721_S505	Y05A	K5ERRY_24HPI
OEL08_N704_S513	Y06	K5ERRY_48HPI
OEL05_N723_S510	Y05A	K5ERRY_24HPI
OEL05_N726_S505	Y05A	K5ERRY_24HPI
OEL08_N702_S517	Y06	K5ERRY_48HPI
OEL05_N722_S507	Y05A	K5ERRY_24HPI
